Ticket_ID,Customer_ID,Ticket_Date,Issue_Category,Product_Category,Priority,Status,Assigned_Agent,Response_Time_Hours,Resolution_Time_Hours,Customer_Satisfaction_Rating,Region,Channel,Escalated
TCK110272,CUST45343,2024-12-24 13:46:53,Account Access,Fashion,High,Closed,Ishita Kapoor,0.2,3.67,1.0,South,Email,Yes
TCK107499,CUST14111,2024-05-21 14:06:55,Login Problem,Home Appliances,Low,Resolved,Aditya Singh,8.16,6.58,3.0,South,Chat,No
TCK100136,CUST15985,2024-03-29 21:43:48,Feature Request,Electronics,Medium,Closed,Ananya Iyer,2.23,6.11,3.0,East,Chat,Yes
TCK108392,CUST48035,2024-12-18 05:33:08,Refund Request,Home Appliances,Medium,Closed,Manish Kumar,0.1,16.12,4.0,North,Phone,No
TCK101865,CUST32954,2024-06-16 14:00:59,Payment Failure,Software/Subscription,Medium,Closed,Aarav Sharma,2.84,35.32,4.0,South,Chat,No
TCK101356,CUST24715,2024-01-19 05:44:32,Refund Request,Furniture,Low,Closed,Neha Gupta,0.34,39.46,5.0,Central,Web,No
TCK107838,CUST26559,2024-12-26 07:49:50,Product Defect,Furniture,Medium,Closed,Rahul Joshi,0.1,21.04,4.0,North,Chat,No
TCK101415,CUST49518,2024-12-20 20:47:15,Warranty Claim,Furniture,Low,Closed,Ishita Kapoor,0.89,62.77,3.0,West,Chat,No
TCK101214,CUST48042,2024-03-10 15:52:13,Refund Request,Mobile & Accessories,Low,Closed,Neha Gupta,0.87,115.24,3.0,Central,Phone,No
TCK101884,CUST11703,2024-12-19 10:19:05,Warranty Claim,Groceries,High,Closed,Arjun Malhotra,0.4,7.13,4.0,East,Phone,No
TCK106572,CUST30732,2024-03-29 21:18:40,Payment Failure,Groceries,Low,Closed,Sneha Reddy,1.75,86.18,2.0,South,Email,No
TCK102406,CUST19441,2024-04-24 23:53:00,Billing Issue,Electronics,High,Closed,Priya Nair,5.18,7.08,5.0,West,Web,No
TCK104113,CUST12455,2024-08-14 07:53:49,Feature Request,Books & Media,Low,Closed,Ananya Iyer,0.93,11.09,4.0,West,Phone,No
TCK111575,CUST48933,2024-05-01 01:04:32,Refund Request,Software/Subscription,Low,Resolved,Rohan Mehta,0.72,4.23,3.0,East,Email,No
TCK100748,CUST17804,2024-10-17 10:08:00,Delivery Delay,Books & Media,High,Closed,Priya Nair,0.43,1.92,4.0,South,Chat,No
TCK102413,CUST43535,2024-01-22 16:38:43,App Crash,Mobile & Accessories,Low,Closed,Priya Nair,0.96,16.24,3.0,West,Chat,No
TCK111877,CUST46607,2024-07-26 02:04:32,Account Access,Fashion,Medium,Closed,Aditya Singh,0.22,8.29,4.0,West,Chat,No
TCK109026,CUST48300,2024-09-08 22:33:34,Refund Request,Software/Subscription,Low,Resolved,Pooja Desai,1.64,48.1,4.0,West,Chat,No
TCK103985,CUST16153,2024-05-02 17:38:40,Account Access,Electronics,Medium,Resolved,Vikram Rao,1.01,5.21,4.0,East,Chat,No
TCK109050,CUST48922,2024-05-12 11:30:58,Refund Request,Home Appliances,Low,Closed,Priya Nair,0.38,10.55,4.0,West,Phone,No
TCK104169,CUST22103,2024-03-16 19:44:49,Billing Issue,Mobile & Accessories,Low,Closed,Aditya Singh,1.36,95.63,2.0,Central,Web,No
TCK102228,CUST38342,2024-06-12 18:17:15,Billing Issue,Home Appliances,Low,Closed,Pooja Desai,0.39,0.95,5.0,East,Phone,No
TCK107061,CUST29257,2024-02-19 01:09:49,App Crash,Home Appliances,Low,Closed,Aditya Singh,0.69,0.5,4.0,North,Email,No
TCK106111,CUST32591,2024-02-16 11:37:34,Billing Issue,Electronics,Medium,Resolved,Aditya Singh,4.74,28.81,2.0,South,Email,Yes
TCK101198,CUST20343,2024-04-06 22:28:25,Order Cancellation,Mobile & Accessories,Critical,Closed,Rahul Joshi,0.87,16.43,5.0,Central,Web,No
TCK105272,CUST19939,2024-09-08 16:53:07,Refund Request,Furniture,Medium,Resolved,Rahul Joshi,1.4,6.21,4.0,North,Chat,Yes
TCK110777,CUST23908,2024-06-24 12:45:55,App Crash,Electronics,Low,Closed,Karan Verma,0.1,83.17,3.0,North,Phone,No
TCK101079,CUST11407,2024-04-23 05:08:00,Delivery Delay,Home Appliances,Medium,Resolved,Pooja Desai,0.91,29.88,4.0,North,Chat,No
TCK100539,CUST13681,2024-03-31 08:12:24,Warranty Claim,Fashion,Critical,Resolved,Vikram Rao,0.37,1.42,4.0,North,Chat,No
TCK103520,CUST11945,2024-03-22 12:35:47,Order Cancellation,Groceries,High,Resolved,Pooja Desai,0.77,1.3,3.0,West,Phone,No
TCK110875,CUST35030,2024-01-06 08:03:20,Refund Request,Electronics,High,Resolved,Vikram Rao,0.72,0.54,5.0,South,Chat,No
TCK105740,CUST46312,2024-12-03 12:55:30,Order Cancellation,Fashion,Medium,Closed,Arjun Malhotra,21.59,18.09,5.0,West,Email,No
TCK111319,CUST23332,2024-09-25 04:10:29,Product Defect,Books & Media,Medium,Resolved,Rohan Mehta,0.34,15.7,5.0,West,Chat,No
TCK107956,CUST11449,2024-12-09 19:19:43,Payment Failure,Mobile & Accessories,Low,Closed,Pooja Desai,0.18,12.98,5.0,North,Email,No
TCK108699,CUST39558,2024-09-05 02:53:42,Login Problem,Software/Subscription,Low,Closed,Vikram Rao,1.46,10.85,4.0,East,Chat,No
TCK103465,CUST33424,2024-05-30 10:51:13,Refund Request,Home Appliances,Low,Resolved,Karan Verma,1.35,9.67,4.0,Central,Web,No
TCK107608,CUST46575,2024-11-18 23:18:10,Feature Request,Books & Media,Low,Closed,Aarav Sharma,0.45,10.47,5.0,South,Chat,No
TCK103007,CUST48074,2024-06-13 11:31:06,Login Problem,Groceries,Low,Closed,Aarav Sharma,0.3,15.55,2.0,West,Chat,No
TCK110899,CUST37768,2024-10-18 10:57:30,App Crash,Fashion,Medium,Closed,Sneha Reddy,1.58,17.51,4.0,West,Web,No
TCK108086,CUST49891,2024-01-26 05:27:27,Technical Support,Furniture,High,Closed,Ishita Kapoor,0.3,1.75,5.0,Central,Chat,No
TCK105479,CUST44090,2024-10-28 15:28:52,Billing Issue,Furniture,High,Resolved,Arjun Malhotra,1.86,0.5,4.0,West,Web,No
TCK106958,CUST27202,2024-10-24 12:12:31,Login Problem,Groceries,High,Closed,Aditya Singh,0.27,47.16,3.0,South,Chat,No
TCK102358,CUST27713,2024-09-27 15:10:10,Account Access,Groceries,Low,Resolved,Arjun Malhotra,1.75,23.52,4.0,East,Chat,No
TCK103820,CUST32294,2024-02-08 20:52:34,Order Cancellation,Books & Media,High,In Progress,Priya Nair,3.23,,,North,Web,No
TCK107853,CUST44934,2024-10-06 14:49:52,Billing Issue,Home Appliances,Low,Closed,Neha Gupta,0.15,5.52,3.0,North,Phone,No
TCK104300,CUST40409,2024-07-29 07:50:11,Product Defect,Home Appliances,High,Resolved,Rahul Joshi,0.1,5.44,4.0,East,Phone,No
TCK108283,CUST24200,2024-10-15 02:57:22,Account Access,Electronics,High,Closed,Aditya Singh,0.69,30.05,4.0,Central,Phone,No
TCK109958,CUST49717,2024-10-19 04:08:44,Delivery Delay,Fashion,Low,Closed,Aarav Sharma,4.71,10.96,4.0,Central,Email,No
TCK107976,CUST35199,2024-04-13 20:05:59,Order Cancellation,Books & Media,Low,Closed,Rohan Mehta,0.45,38.73,4.0,Central,Phone,No
TCK104817,CUST16292,2024-04-08 19:58:33,App Crash,Books & Media,Medium,Resolved,Neha Gupta,2.88,4.21,5.0,Central,Chat,No
TCK108498,CUST17909,2024-06-24 22:44:32,Technical Support,Groceries,Low,Closed,Karan Verma,0.37,9.9,4.0,North,Chat,No
TCK105642,CUST41380,2024-02-07 13:09:59,Login Problem,Groceries,Medium,Resolved,Ishita Kapoor,0.43,34.92,3.0,South,Phone,No
TCK104024,CUST30647,2024-08-19 01:55:10,Payment Failure,Fashion,Critical,Resolved,Vikram Rao,0.16,1.57,5.0,North,Phone,No
TCK107783,CUST14997,2024-09-29 02:21:14,Product Defect,Fashion,High,Closed,Manish Kumar,4.94,1.27,4.0,East,Email,No
TCK107094,CUST42411,2024-03-14 06:08:57,Product Defect,Fashion,Critical,Resolved,Rahul Joshi,2.24,0.5,3.0,East,Email,No
TCK104618,CUST21496,2024-01-14 16:23:31,Feature Request,Mobile & Accessories,Low,Closed,Neha Gupta,4.55,2.0,3.0,South,Web,No
TCK104124,CUST34434,2024-01-27 18:52:15,Order Cancellation,Groceries,Medium,In Progress,Vikram Rao,0.25,,,East,Phone,No
TCK111834,CUST11419,2024-05-10 05:28:49,App Crash,Software/Subscription,Low,Resolved,Rohan Mehta,0.52,9.34,4.0,South,Chat,No
TCK110306,CUST42589,2024-07-06 17:18:40,Feature Request,Furniture,Medium,Resolved,Manish Kumar,2.06,8.11,4.0,,Web,No
TCK102268,CUST14653,2024-08-26 09:30:03,Login Problem,Furniture,Low,Closed,Divya Menon,2.33,3.28,4.0,South,Web,No
TCK109679,CUST20219,2024-12-03 14:51:22,Login Problem,Groceries,Critical,Closed,Neha Gupta,7.44,4.0,3.0,East,Email,Yes
TCK111335,CUST26452,2024-12-24 16:30:00,Warranty Claim,Mobile & Accessories,Medium,Resolved,Neha Gupta,0.11,20.06,5.0,Central,Web,No
TCK100150,CUST48465,2024-08-13 05:16:39,Feature Request,Books & Media,High,Resolved,Neha Gupta,0.23,0.5,5.0,South,Phone,No
TCK103679,CUST19017,2024-10-29 16:26:16,Payment Failure,Electronics,Low,Open,Neha Gupta,0.68,,,South,Chat,No
TCK111781,CUST41827,2024-11-23 11:18:31,Order Cancellation,Mobile & Accessories,Low,Closed,Rahul Joshi,1.54,10.49,2.0,North,Email,No
TCK111074,CUST48620,2024-06-11 06:07:29,Billing Issue,Furniture,Medium,Closed,Vikram Rao,1.99,25.13,5.0,East,Email,No
TCK107277,CUST26411,2024-03-10 12:34:53,Order Cancellation,Software/Subscription,Critical,Closed,Sneha Reddy,0.65,8.57,5.0,East,Phone,No
TCK103781,CUST29628,2024-04-02 08:06:35,Feature Request,Electronics,Medium,Resolved,Pooja Desai,0.41,10.86,4.0,Central,Web,No
TCK104654,CUST43901,2024-09-08 04:50:46,Refund Request,Fashion,High,Resolved,Pooja Desai,4.33,6.63,5.0,West,Email,No
TCK105139,CUST48629,2024-08-08 12:02:10,Payment Failure,Books & Media,High,Closed,Divya Menon,0.1,7.18,5.0,South,Web,No
TCK108396,CUST40556,2024-05-02 08:26:09,Login Problem,Furniture,Low,Closed,Ananya Iyer,2.74,3.04,5.0,West,Chat,No
TCK104955,CUST38458,2024-10-02 01:38:54,Payment Failure,Books & Media,Low,Closed,Manish Kumar,1.86,82.28,1.0,South,Chat,No
TCK103651,CUST43465,2024-11-28 12:54:52,Refund Request,Software/Subscription,Critical,Closed,Neha Gupta,1.49,4.4,,West,Phone,No
TCK104722,CUST46592,2024-10-15 03:46:40,Product Defect,Home Appliances,Medium,Closed,Aditya Singh,6.17,3.87,4.0,South,Web,No
TCK100614,CUST22489,2024-01-07 22:59:25,Feature Request,Electronics,Low,Closed,Ishita Kapoor,0.78,7.98,3.0,South,Email,No
TCK107999,CUST29607,2024-01-25 02:58:13,Product Defect,Software/Subscription,Low,Closed,Ananya Iyer,0.1,25.03,4.0,East,Phone,No
TCK106659,CUST38217,2024-06-11 14:53:58,Order Cancellation,Software/Subscription,Medium,Resolved,Manish Kumar,14.98,5.62,5.0,Central,Email,Yes
TCK111735,CUST36683,2024-08-17 07:54:59,Order Cancellation,Home Appliances,High,Closed,Arjun Malhotra,0.88,3.56,4.0,East,Phone,No
TCK111106,CUST20464,2024-11-18 15:09:35,Delivery Delay,Books & Media,Low,Resolved,Ananya Iyer,0.45,1.75,4.0,South,Chat,No
TCK106238,CUST33765,2024-05-02 08:33:20,Payment Failure,Home Appliances,High,Closed,Arjun Malhotra,0.43,0.56,4.0,East,Email,No
TCK108843,CUST47477,2024-04-01 21:01:18,Delivery Delay,Home Appliances,High,Open,Priya Nair,0.1,,,North,Chat,No
TCK106086,CUST29022,2024-09-10 16:29:42,Account Access,Electronics,Low,Closed,Priya Nair,1.22,3.99,5.0,Central,Web,No
TCK107268,CUST39114,2024-01-17 16:47:33,Refund Request,Mobile & Accessories,Medium,Closed,Priya Nair,0.85,11.77,4.0,East,Web,No
TCK109469,CUST38310,2024-03-25 15:24:18,Refund Request,Groceries,High,Closed,Arjun Malhotra,1.55,5.84,5.0,East,Web,No
TCK101189,CUST33780,2024-12-16 18:02:03,Feature Request,Home Appliances,Medium,Closed,Pooja Desai,2.63,5.63,4.0,Central,Email,No
TCK107736,CUST46476,2024-03-14 23:56:29,Refund Request,Mobile & Accessories,Medium,Closed,Aarav Sharma,7.85,6.35,5.0,West,Email,No
TCK107088,CUST15834,2024-10-22 23:38:38,Login Problem,Mobile & Accessories,Medium,Resolved,Neha Gupta,0.36,16.28,3.0,North,Email,No
TCK108806,CUST39180,2024-06-11 00:24:45,App Crash,Fashion,Low,Closed,Priya Nair,2.74,19.26,5.0,North,Email,No
TCK107960,CUST45863,2024-04-14 06:55:42,Account Access,Electronics,Low,Closed,Priya Nair,0.47,0.57,5.0,North,Email,No
TCK101748,CUST34357,2024-05-24 10:57:30,Product Defect,Groceries,Low,Closed,Aarav Sharma,0.24,40.82,2.0,North,Phone,No
TCK109528,CUST30476,2024-05-29 10:29:29,Login Problem,Home Appliances,High,Closed,Ishita Kapoor,1.4,6.36,3.0,West,Email,No
TCK109584,CUST46014,2024-02-21 20:23:44,App Crash,Electronics,High,Closed,Pooja Desai,3.38,29.56,,Central,Email,Yes
TCK101702,CUST19477,2024-05-05 17:24:22,Feature Request,Groceries,Medium,Closed,Rohan Mehta,0.29,68.26,2.0,North,Phone,No
TCK106735,CUST28168,2024-09-22 08:17:16,Account Access,Home Appliances,Critical,Resolved,Rohan Mehta,1.25,0.5,5.0,East,Email,No
TCK107683,CUST23601,2024-09-12 23:50:14,Warranty Claim,Mobile & Accessories,High,Resolved,Divya Menon,0.22,2.92,5.0,East,Phone,No
TCK102125,CUST24915,2024-04-04 17:41:28,Warranty Claim,Books & Media,Medium,Closed,Priya Nair,0.48,12.32,5.0,West,Chat,No
TCK100773,CUST43497,2024-04-18 20:16:27,Account Access,Fashion,High,In Progress,Rohan Mehta,0.1,,,Central,Phone,Yes
TCK104505,CUST13887,2024-04-30 16:32:11,Technical Support,Electronics,Medium,Resolved,Divya Menon,1.39,10.71,5.0,East,Email,No
TCK108811,CUST43175,2024-10-11 22:36:16,Delivery Delay,Home Appliances,Low,Closed,Neha Gupta,0.1,41.01,4.0,West,Chat,No
TCK108355,CUST44540,2024-11-09 10:37:54,App Crash,Groceries,High,Open,Arjun Malhotra,0.59,,,North,Chat,Yes
TCK100201,CUST32212,2024-11-17 08:06:22,Payment Failure,Furniture,High,Open,Divya Menon,0.4,,,West,Phone,Yes
TCK106952,CUST42805,2024-06-24 16:56:15,Account Access,Mobile & Accessories,Medium,Closed,Arjun Malhotra,6.65,25.58,2.0,South,Email,No
TCK103943,CUST45421,2024-01-05 20:01:11,Product Defect,Furniture,High,Closed,Rohan Mehta,1.13,7.73,5.0,East,Chat,No
TCK104076,CUST24403,2024-03-06 08:48:43,Account Access,Electronics,Critical,Closed,Divya Menon,0.35,4.93,4.0,East,Chat,No
TCK104880,CUST49511,2024-06-25 05:41:00,Login Problem,Books & Media,Critical,Open,Priya Nair,0.19,,,West,Phone,No
TCK106194,CUST22446,2024-08-08 01:45:09,Delivery Delay,Fashion,High,Closed,Manish Kumar,0.16,20.45,3.0,North,Web,Yes
TCK109690,CUST24234,2024-09-14 02:55:41,App Crash,Fashion,Medium,Resolved,Manish Kumar,2.14,8.42,3.0,East,Web,No
TCK103442,CUST16173,2024-02-23 17:39:46,Technical Support,Books & Media,Medium,Closed,Karan Verma,2.21,5.73,5.0,South,Phone,No
TCK103474,CUST41305,2024-02-23 04:15:08,Technical Support,Furniture,Low,Resolved,Rohan Mehta,1.24,4.27,5.0,South,Phone,No
TCK108014,CUST42461,2024-01-15 15:39:50,Product Defect,Groceries,Low,Closed,Priya Nair,0.29,25.68,4.0,South,Phone,No
TCK111358,CUST17836,2024-07-24 05:49:11,Feature Request,Furniture,Medium,Resolved,Ishita Kapoor,0.57,7.9,5.0,South,Phone,No
TCK100386,CUST25074,2024-05-27 12:21:47,Warranty Claim,Fashion,Low,Closed,Vikram Rao,0.28,30.49,2.0,West,Phone,No
TCK108423,CUST36493,2024-07-07 10:33:48,Warranty Claim,Home Appliances,Critical,Resolved,Priya Nair,1.09,3.71,4.0,North,Web,No
TCK102423,CUST25040,2024-08-14 07:31:22,Payment Failure,Electronics,Low,Closed,Divya Menon,6.15,18.68,3.0,East,Web,No
TCK101454,CUST48340,2024-06-23 08:09:32,Account Access,Fashion,Medium,Closed,Ananya Iyer,0.47,12.26,2.0,Central,Web,No
TCK104683,CUST30163,2024-08-15 03:47:47,Feature Request,Groceries,High,Closed,Priya Nair,3.33,3.1,4.0,West,Email,Yes
TCK108914,CUST13257,2024-12-07 01:42:14,Technical Support,Mobile & Accessories,High,Resolved,Priya Nair,4.09,2.42,4.0,East,Email,Yes
TCK101733,CUST39548,2024-11-10 00:13:24,Product Defect,Mobile & Accessories,Medium,Closed,Aarav Sharma,3.42,9.39,5.0,East,Chat,No
TCK107417,CUST10115,2024-05-12 23:16:52,Feature Request,Groceries,Critical,In Progress,Ananya Iyer,4.69,,,West,Web,No
TCK103774,CUST37757,2024-11-28 00:54:22,Refund Request,Books & Media,Medium,Closed,Rohan Mehta,0.1,14.1,4.0,East,Chat,No
TCK101826,CUST49570,2024-12-07 17:15:13,Login Problem,Home Appliances,Low,Closed,Ishita Kapoor,6.87,7.55,3.0,South,Email,No
TCK105546,CUST27303,2024-05-17 18:36:16,Billing Issue,Furniture,Medium,Closed,Sneha Reddy,1.4,20.31,3.0,Central,Web,No
TCK100812,CUST11271,2024-02-29 02:08:03,Billing Issue,Electronics,Low,Closed,Priya Nair,0.1,0.65,5.0,South,Email,No
TCK102685,CUST27821,2024-08-15 15:42:31,Delivery Delay,Furniture,High,Closed,Ananya Iyer,1.13,8.58,4.0,Central,Chat,No
TCK109635,CUST13944,2024-05-25 20:00:15,Payment Failure,Home Appliances,Low,Closed,Ananya Iyer,4.17,11.78,5.0,North,Email,No
TCK107728,CUST32110,2024-05-02 03:46:42,Payment Failure,Fashion,Low,Closed,Divya Menon,1.64,2.88,4.0,Central,Web,No
TCK108378,CUST22021,2024-08-11 04:35:21,Feature Request,Groceries,Low,Closed,Neha Gupta,0.96,0.5,4.0,West,Phone,No
TCK102317,CUST46493,2024-03-03 13:32:31,Product Defect,Groceries,High,Closed,Priya Nair,7.35,21.54,4.0,North,Email,No
TCK109531,CUST26208,2024-11-29 17:59:18,Delivery Delay,Groceries,Low,Closed,Ananya Iyer,1.35,1.3,4.0,East,Phone,No
TCK102715,CUST18924,2024-11-17 14:32:44,Product Defect,Electronics,Medium,Resolved,Neha Gupta,0.16,19.32,5.0,West,Phone,No
TCK106823,CUST27888,2024-07-03 07:17:16,Product Defect,Home Appliances,Medium,Closed,Priya Nair,0.88,2.33,3.0,West,Phone,No
TCK101400,CUST43571,2024-08-29 05:18:44,Technical Support,Furniture,Medium,Closed,Neha Gupta,0.23,15.88,4.0,West,Phone,No
TCK100971,CUST43451,2024-06-05 23:23:34,Product Defect,Software/Subscription,High,Closed,Sneha Reddy,0.33,33.29,3.0,North,Web,No
TCK106324,CUST20735,2024-07-31 17:23:10,Refund Request,Furniture,Low,Closed,Neha Gupta,0.82,30.81,2.0,West,Chat,No
TCK100534,CUST40912,2024-07-24 14:39:59,Technical Support,Fashion,High,Resolved,Priya Nair,4.54,5.42,4.0,South,Web,No
TCK105503,CUST23396,2024-10-15 13:51:16,Payment Failure,Electronics,Medium,Closed,Ishita Kapoor,0.49,16.0,4.0,East,Phone,No
TCK105466,CUST29706,2024-12-28 08:25:13,Account Access,Software/Subscription,Medium,Closed,Aditya Singh,4.73,58.46,2.0,East,Email,No
TCK100071,CUST31639,2024-08-30 00:13:45,Technical Support,Home Appliances,High,In Progress,Vikram Rao,6.57,,,East,Email,No
TCK105853,CUST21654,2024-02-02 07:45:04,App Crash,Home Appliances,Medium,Closed,Neha Gupta,0.1,24.24,4.0,West,Phone,No
TCK111709,CUST35611,2024-09-02 22:08:20,Feature Request,Mobile & Accessories,High,Resolved,Rahul Joshi,1.34,5.39,4.0,West,Email,No
TCK106736,CUST38280,2024-10-26 01:07:08,Technical Support,Fashion,Medium,Resolved,Arjun Malhotra,0.27,0.54,4.0,South,Chat,No
TCK107932,CUST10885,2024-01-03 16:33:46,App Crash,Fashion,Medium,Closed,Aarav Sharma,5.65,2.85,4.0,North,Web,No
TCK107785,CUST35252,2024-05-04 19:09:31,Billing Issue,Software/Subscription,Low,Closed,Aditya Singh,4.52,4.0,5.0,East,Email,No
TCK105903,CUST12365,2024-11-23 03:18:09,Login Problem,Fashion,High,Closed,Divya Menon,2.63,14.3,4.0,North,Email,No
TCK102589,CUST28773,2024-04-04 11:07:21,Warranty Claim,Mobile & Accessories,Low,Resolved,Rohan Mehta,0.9,3.91,4.0,East,Email,No
TCK102628,CUST26920,2024-03-06 15:24:18,Feature Request,Software/Subscription,High,Closed,Aditya Singh,2.51,1.41,3.0,East,Web,Yes
TCK111615,CUST11713,2024-04-19 07:50:38,Feature Request,Mobile & Accessories,High,Resolved,Ananya Iyer,0.29,1.59,4.0,North,Phone,No
TCK108638,CUST42673,2024-01-17 23:25:44,App Crash,Home Appliances,Low,Closed,Arjun Malhotra,0.1,0.9,3.0,Central,Email,No
TCK107989,CUST29301,2024-12-31 09:12:33,Delivery Delay,Furniture,High,Open,Pooja Desai,0.65,,,North,Chat,No
TCK108282,CUST14884,2024-06-12 07:46:06,Order Cancellation,Electronics,High,Closed,Arjun Malhotra,0.32,4.62,4.0,North,Phone,Yes
TCK100358,CUST24280,2024-08-12 14:15:06,Login Problem,Electronics,High,Closed,Sneha Reddy,0.1,39.76,3.0,West,Web,No
TCK105514,CUST47497,2024-01-15 18:20:10,Delivery Delay,Books & Media,Low,Closed,Manish Kumar,1.82,42.08,4.0,Central,Chat,No
TCK103972,CUST44959,2024-06-16 03:27:37,Billing Issue,Mobile & Accessories,Low,Closed,Sneha Reddy,4.68,5.79,3.0,West,Web,No
TCK106628,CUST26553,2024-07-29 01:26:38,Technical Support,Fashion,Critical,Resolved,Rahul Joshi,2.44,6.89,3.0,South,Web,Yes
TCK108224,CUST27466,2024-03-28 06:27:01,Billing Issue,Mobile & Accessories,Low,Resolved,Ananya Iyer,0.48,4.36,5.0,Central,Web,No
TCK110167,CUST27528,2024-02-18 00:15:04,Billing Issue,Fashion,Critical,Resolved,Arjun Malhotra,0.1,14.02,5.0,East,Phone,No
TCK105763,CUST12688,2024-04-04 15:14:49,Billing Issue,Home Appliances,Low,Closed,Aditya Singh,2.8,15.42,4.0,Central,Email,No
TCK111628,CUST44776,2024-04-03 14:13:52,Account Access,Fashion,Critical,Closed,Priya Nair,6.28,1.96,5.0,Central,Email,No
TCK108304,CUST17706,2024-12-24 22:10:19,Refund Request,Electronics,High,Closed,Aarav Sharma,1.66,16.76,4.0,East,Email,No
TCK111659,CUST18044,2024-08-04 09:09:10,Login Problem,Electronics,Medium,Closed,Ishita Kapoor,1.99,76.41,3.0,West,Web,Yes
TCK104829,CUST18394,2024-02-21 14:09:11,Order Cancellation,Fashion,Medium,Resolved,Arjun Malhotra,0.41,17.17,5.0,East,Web,No
TCK109516,CUST28695,2024-07-29 04:39:55,App Crash,Furniture,High,Resolved,Priya Nair,0.59,6.12,4.0,West,Phone,Yes
TCK106761,CUST44626,2024-05-29 18:13:54,Product Defect,Groceries,Low,In Progress,Arjun Malhotra,4.81,,,South,Web,No
TCK102885,CUST31685,2024-08-04 11:24:21,Account Access,Furniture,Medium,Closed,Sneha Reddy,1.1,3.6,3.0,North,Chat,No
TCK107175,CUST42973,2024-07-10 23:30:11,Order Cancellation,Electronics,Low,Closed,Arjun Malhotra,0.1,33.71,5.0,,Phone,No
TCK110475,CUST38006,2024-08-30 16:56:14,Warranty Claim,Software/Subscription,Medium,Closed,Pooja Desai,2.17,6.48,3.0,,Chat,No
TCK100488,CUST47249,2024-06-12 10:43:56,Technical Support,Mobile & Accessories,Medium,Closed,Arjun Malhotra,0.12,12.61,3.0,West,Phone,Yes
TCK110000,CUST36796,2024-09-27 15:21:12,Billing Issue,Electronics,Medium,Resolved,Manish Kumar,0.28,6.96,4.0,Central,Email,No
TCK105021,CUST28615,2024-08-23 22:54:54,Order Cancellation,Fashion,Low,Closed,Neha Gupta,0.35,19.07,3.0,West,Chat,No
TCK100219,CUST21514,2024-02-20 04:05:52,Account Access,Fashion,High,Closed,Vikram Rao,1.97,21.98,5.0,Central,Chat,No
TCK102953,CUST20234,2024-01-10 23:02:01,Product Defect,Books & Media,High,Resolved,Aditya Singh,11.62,5.36,3.0,North,Email,Yes
